CUTCSA,2660,L94,1,37,PASO DE LA ARENA,34,RUTA 1 KM 26
RAINCOOP,3355,2,1,42,PORTONES,50,AVIACI├ôN CIVIL
CUTCSA,3350,G11,0,143,CNO MELILLA,181,TERMINAL COL├ôN
CUTCSA,395,105,0,16,PARQUE ROOSEVELT,7,PLAZA INDEPENDENCIA
CUTCSA,1591,17,1,28,PUNTA CARRETAS,31,CASAB├ô
CUTCSA,1581,L5,1,37,PASO DE LA ARENA,150,LUIS BATLLE BERRES Y CNO GORI
COETC,3658,L7,1,32,TERMINAL DEL CERRO,49,HOSPITAL SAINT BOIS (POR COTRAVI)
COME,205,538,0,70,BUCEO,11,ADUANA
COETC,2941,L19,0,39,PAJAS BLANCAS,37,PASO DE LA ARENA
CUTCSA,3365,174,1,28,PUNTA CARRETAS,50,AVIACI├ôN CIVIL (POR LEZICA)
CUTCSA,3359,147,1,11,ADUANA,46,COMPLEJO AM├ëRICA
CUTCSA,2209,62,1,1,PLAZA ESPA├æA,24,POCITOS
CUTCSA,2611,L15,1,32,TERMINAL DEL CERRO,39,PAJAS BLANCAS (POR ESCUELA MONTERROSA)
CUTCSA,3375,G8,1,181,TERMINAL COL├ôN,64,HIP├ôDROMO DE LAS PIEDRAS (POR ESCUELAS 154 Y 224)
COETC,3402,G,0,38,LA PAZ,42,PORTONES
CUTCSA,1510,64,0,42,PORTONES,7,PLAZA INDEPENDENCIA (POR MALV├ìN)
CUTCSA,2397,187,0,69,PALACIO DE LA LUZ,7,PLAZA INDEPENDENCIA
COETC,3354,L29,0,46,COMPLEJO AM├ëRICA,67,PASO MOLINO
CUTCSA,3345,G8,1,181,TERMINAL COL├ôN,64,HIP├ôDROMO DE LAS PIEDRAS
CUTCSA,2398,121,0,28,PUNTA CARRETAS,7,PLAZA INDEPENDENCIA
COETC,24,405,1,56,PARQUE ROD├ô,74,PE├æAROL
CUTCSA,469,109,0,16,PARQUE ROOSEVELT,7,PLAZA INDEPENDENCIA
CUTCSA,2984,133,0,39,PAJAS BLANCAS,11,ADUANA
COETC,170,L14,0,37,PASO DE LA ARENA,67,PASO MOLINO
UCOT,3022,306,1,16,PARQUE ROOSEVELT,31,CASAB├ô (POR HIP├ôDROMO)
COETC,37,405,0,74,PE├æAROL,56,PARQUE ROD├ô
CUTCSA,2311,116,0,24,POCITOS,1,PLAZA ESPA├æA
CUTCSA,1135,164,1,22,CIUDADELA,59,LUIS A DE HERRERA Y MONTE CASEROS
CUTCSA,2092,126,1,23,CIUDAD VIEJA,31,CASAB├ô
CUTCSA,635,117,1,7,PLAZA INDEPENDENCIA,28,PUNTA CARRETAS
CUTCSA,1407,192,1,56,PARQUE ROD├ô,52,MANGA
COME,3015,538,1,22,CIUDADELA,189,CEMENTERIO DEL BUCEO
CUTCSA,3363,151,1,42,PORTONES,54,VERDISOL
CUTCSA,266,102,0,5,GRUTA DE LOURDES,7,PLAZA INDEPENDENCIA
CUTCSA,3297,106,0,4,CURVA DE MARO├æAS,11,ADUANA
CUTCSA,2312,116,1,1,PLAZA ESPA├æA,24,POCITOS
UCOT,3021,306,0,31,CASAB├ô,16,PARQUE ROOSEVELT (POR HIP├ôDROMO)
COETC,83,427,1,42,PORTONES,75,LOS BULEVARES
CUTCSA,2612,L15,0,39,PAJAS BLANCAS,32,TERMINAL DEL CERRO (POR ESCUELA MONTERROSA)
CUTCSA,2779,117,1,23,CIUDAD VIEJA,28,PUNTA CARRETAS
CUTCSA,2661,L94,0,34,RUTA 1 KM 26,37,PASO DE LA ARENA
CUTCSA,2673,127,0,34,RUTA 1 KM 26,11,ADUANA (POR COMPEN)
CUTCSA,869,142,0,20,PUNTA GORDA,11,ADUANA
CUTCSA,3082,195,0,30,PLAYA DEL CERRO,190,CRIOLLA PARQUE ROOSEVELT
RAINCOOP,1641,77,1,7,PLAZA INDEPENDENCIA,20,PUNTA GORDA
CUTCSA,2778,117,0,28,PUNTA CARRETAS,23,CIUDAD VIEJA
CUTCSA,7452,133,0,40,PLAYA LA COLORADA,11,ADUANA (POR PAJAS BLANCAS)
CUTCSA,280,102,0,5,GRUTA DE LOURDES,11,ADUANA
UCOT,3087,306,0,31,CASAB├ô,12,PUENTE CARRASCO
CUTCSA,3409,148,1,11,ADUANA,48,FAUQUET
